Food Bank,index,Total Population,"[Revised Projections – March 2021]
2021 Food Insecurity  %","[Revised Projections – March 2021]
2021 Food Insecurity #",address_1,city,zip_code,state_y,statecode,latitude,longitude
Roadrunner Food Bank,0,2092454,0.155,323340,5840 Office Blvd NE,Albuquerque,87109.0,New Mexico,NM,35.1506,-106.569
High Plains Food Bank,1,475188,0.161,76360,815 S. Ross|PO Box 31803,Amarillo,79120.0,Texas,TX,35.1964,-101.8034
"Food Bank of Alaska, Inc.",2,737068,0.129,95420,2192 Viking Drive,Anchorage,99501.0,Alaska,AK,61.2116,-149.8761
Atlanta Community Food Bank,3,6105046,0.117,715840,3400 N Desert Dr,Atlanta,30344.0,Georgia,GA,33.6919,-84.448
Golden Harvest Food Bank,4,831422,0.139,115340,3310 Commerce Drive,Augusta,30909.0,Georgia,GA,33.4717,-82.0834
Central Texas Food Bank,5,3054012,0.154,469120,6500 Metropolis Drive,Austin,78744.0,Texas,TX,30.1876,-97.7472
Maryland Food Bank,6,4066648,0.128,521800,2200 Halethorpe Farms Road,Baltimore,21227.0,Maryland,MD,39.2309,-76.6969
Community Food Bank of Central Alabama,7,1458585,0.157,229190,107 Walter Davis Drive,Birmingham,35209.0,Alabama,AL,33.4653,-86.8082
The Greater Boston Food Bank,8,5199876,0.098,507380,70 South Bay Ave,Boston,2118.0,Massachusetts,MA,42.3362,-71.0729
Food Bank For New York City,9,8419316,0.171,1437320,355 Food Center Dr.,New York,10474.0,New York,NY,40.8139,-73.8841
"FeedMore Western New York, Inc.",10,1335792,0.131,174630,91 Holt Street,Buffalo,14206.0,New York,NY,42.8811,-78.8104
Food Bank of South Jersey,11,1306595,0.115,150710,1501 John Tipton Boulevard,Pennsauken,8110.0,New Jersey,NJ,39.9723,-75.0607
Second Harvest Food Bank of Metrolina,12,3900212,0.131,511640,500 B Spratt St.,Charlotte,28206.0,North Carolina,NC,35.2522,-80.8265
Chattanooga Area Food Bank,13,1092372,0.148,161770,2009 Curtain Pole Road,Chattanooga,37406.0,Tennessee,TN,35.0614,-85.2478
Greater Chicago Food Depository,14,5198275,0.118,613360,4100 West Ann Lurie Place,Chicago,60632.0,Illinois,IL,41.8093,-87.7052
Freestore Foodbank,15,1818085,0.139,252740,1141 Central Parkway,Cincinnati,45202.0,Ohio,OH,39.1072,-84.502
"Greater Cleveland Food Bank, Inc.",16,1843714,0.148,273100,15500 South Waterloo Road,Cleveland,44110.0,Ohio,OH,41.5636,-81.5733
Care and Share Food Bank,17,1211137,0.134,162630,2605 Preamble Point,Colorado Springs,80915.0,Colorado,CO,38.8558,-104.7134
Harvest Hope Food Bank,18,2054603,0.115,235860,2220 Shop Road|P.O. Box 451,Columbia,29201.0,South Carolina,SC,34.0004,-81.0334
Mid-Ohio FoodBank,19,2585488,0.138,355570,3960 Brookham Dr.,Grove City,43123.0,Ohio,OH,39.8814,-83.0839
Food Bank of Contra Costa and Solano,20,4274041,0.124,531740,4010 Nelson Ave,Concord,94520.0,California,CA,37.9823,-122.0362
Coastal Bend Food Bank,21,589457,0.19,111730,826 Krill St.,Corpus Christi,78408.0,Texas,TX,27.7945,-97.4381
North Texas Food Bank,22,5209472,0.154,801860,3677 Mapleshade Lane,Plano,75075.0,Texas,TX,33.025,-96.7397
Food Bank of the Rockies,23,3945294,0.116,457580,10700 E. 45th Ave,Denver,80239.0,Colorado,CO,39.7878,-104.8288
Food Bank of Iowa,24,1510703,0.094,142130,2220 E. 17th Street|P.O. Box 1517,Des Moines,50316.0,Iowa,IA,41.6092,-93.6
Gleaners Community Food Bank of Southeastern Michigan,25,4220290,0.154,650630,2131 Beaufait Street,Detroit,48207.0,Michigan,MI,42.3524,-83.0271
Food Bank of the Southern Tier,26,543753,0.134,72650,388 Upper Oakwood Avenue,Elmira,14903.0,New York,NY,42.1198,-76.8877
Second Harvest Food Bank of Northwest Pennsylvania,27,697208,0.14,97960,1507 Grimm Drive,Erie,16501.0,Pennsylvania,PA,42.126,-80.086
Food Bank of Eastern Michigan,28,1403218,0.153,214970,2300 Lapeer Road,Flint,48503.0,Michigan,MI,43.0128,-83.6914
Tarrant Area Food Bank,29,3490822,0.152,531760,2600 Cullen,Ft. Worth,76107.0,Texas,TX,32.7392,-97.3852
Mountaineer Food Bank,30,1520939,0.138,209710,484 Enterprise Drive,Gassaway,26624.0,West Virginia,WV,38.6862,-80.7863
Feeding America West Michigan Food Bank,31,2421110,0.128,310150,864 West River Center Drive NE,Comstock Park,49321.0,Michigan,MI,43.0578,-85.6845
The Food Bank of Western Massachusetts,32,825905,0.121,99890,97 North Hatfield Road|PO Box 160,Hatfield,1038.0,Massachusetts,MA,42.3844,-72.6167
"Hawaii Foodbank, Inc.",33,1422094,0.152,215520,2611 Kilihau St,Honolulu,96819.0,Hawaii,HI,21.3488,-157.8759
Houston Food Bank,34,7334632,0.164,1199600,535 Portwall Street,Houston,77029.0,Texas,TX,29.763,-95.2567
"Gleaners Food Bank of Indiana, Inc.",35,2286146,0.131,298780,3737 Waldemere Ave.,Indianapolis,46241.0,Indiana,IN,39.7096,-86.2614
Harvesters - The Community Food Network,36,2599735,0.124,323660,3801 Topping Avenue,Kansas City,64129.0,Missouri,MO,39.0401,-94.4951
Second Harvest Food Bank of East Tennessee,37,1304063,0.149,194480,136 Harvest Lane,Maryville,37801.0,Tennessee,TN,35.6884,-84.0769
Regional Food Bank of Northeastern New York,38,2846201,0.111,317050,965 Albany Shaker Rd.,Latham,12110.0,New York,NY,42.7462,-73.763
Arkansas Foodbank,39,1442506,0.177,254610,4301 W 65th St,Little Rock,72209.0,Arkansas,AR,34.6725,-92.3529
Los Angeles Regional Food Bank,40,10081570,0.144,1453170,1734 E. 41st Street,Los Angeles,90058.0,California,CA,33.9994,-118.2133
Dare to Care Food Bank,41,1286886,0.125,160660,5803 Fern Valley Road|PO Box 35458,Louisville,40228.0,Kentucky,KY,38.1442,-85.6265
South Plains Food Bank,42,473123,0.174,82300,5605 MLK Boulevard,Lubbock,79404.0,Texas,TX,33.526,-101.8333
Greater Pittsburgh Community Food Bank,43,2394856,0.125,298490,1 North Linden Street,Duquesne,15110.0,Pennsylvania,PA,40.3704,-79.8522
Mid-South Food Bank,44,2056318,0.156,320400,3865 S Perkins Rd,Memphis,38118.0,Tennessee,TN,35.0514,-89.9265
Feeding South Florida,45,6166458,0.129,795410,2501 SW 32 Terrace,Pembroke Park,33023.0,Florida,FL,25.9894,-80.2153
Feeding America Eastern Wisconsin,46,3856532,0.104,402610,1700 W. Fond Du Lac Avenue,Milwaukee,53205.0,Wisconsin,WI,43.0528,-87.9353
Feeding the Gulf Coast,47,2292020,0.164,376740,5248 Mobile South Street,Theodore,36582.0,Alabama,AL,30.5444,-88.1807
River Bend Foodbank,48,1037538,0.112,115750,4010 Kimmel Drive,Davenport,52802.0,Iowa,IA,41.5164,-90.6141
"Montgomery Area Food Bank, Inc.",49,1481529,0.172,254180,521 Trade Center Street,Montgomery,36108.0,Alabama,AL,32.3417,-86.3529
Second Harvest Food Bank of Middle Tennessee,50,2917667,0.131,381980,331 Great Circle Road,Nashville,37228.0,Tennessee,TN,36.1901,-86.8053
Connecticut Food Bank,51,2530450,0.134,339410,2 Research Parkway,Wallingford,6492.0,Connecticut,CT,41.46,-72.8222
Second Harvest Food Bank of Greater New Orleans and Acadiana,52,2569799,0.174,446960,700 Edwards Avenue,New Orleans,70123.0,Louisiana,LA,29.9511,-90.206
Community Foodbank of New Jersey,53,6353834,0.122,775400,31 Evans Terminal,Hillside,7205.0,New Jersey,NJ,40.6968,-74.2281
Food Bank of Delaware,54,957248,0.119,114300,222 Lake Drive,Newark,19702.0,Delaware,DE,39.6349,-75.6993
Foodbank of Southeastern Virginia,55,1238563,0.106,131220,800 Tidewater Drive|PO Box 1940,Norfolk,23504.0,Virginia,VA,36.8586,-76.2686
Regional Food Bank of Oklahoma,56,2389997,0.154,368760,3355 S. Purdue|PO Box 270968,Oklahoma City,73179.0,Oklahoma,OK,35.4242,-97.6547
Food Bank for the Heartland,57,1841518,0.112,206940,10525 J Street,Omaha,68127.0,Nebraska,NE,41.2074,-96.0612
Second Harvest Food Bank of Orange County,58,3168044,0.107,338120,8014 Marine Way,Irvine,92618.0,California,CA,33.7074,-117.7054
Second Harvest Food Bank of Central Florida,59,4477158,0.142,635280,411 Mercy Drive,Orlando,32805.0,Florida,FL,28.5302,-81.4045
Food Share of Ventura County,60,847263,0.096,81530,4156 Southbank Road,Oxnard,93036.0,California,CA,34.2351,-119.182
Oregon Food Bank,61,4603055,0.125,573310,7900 NE 33rd Drive,Portland,97211.0,Oregon,OR,45.5653,-122.6448
Food Bank of Central and Eastern North Carolina,62,4040139,0.146,588240,1924 Capital Boulevard,Raleigh,27604.0,North Carolina,NC,35.8334,-78.5799
Feed More,63,1548043,0.107,165570,1415 Rhoadmiller Street,Richmond,23220.0,Virginia,VA,37.5498,-77.4588
Feeding America Riverside San Bernardino Counties,64,4560470,0.117,534440,2950 - A Jefferson Street,Riverside,92504.0,California,CA,33.9315,-117.4119
Feeding Southwest Virginia,65,1161499,0.14,162360,1025 Electric Road,Salem,24153.0,Virginia,VA,37.2853,-80.0692
"Foodlink, Inc.",66,1252068,0.122,152730,1999 Mt. Read Boulevard,Rochester,14615.0,New York,NY,43.2058,-77.6521
San Antonio Food Bank,67,2767351,0.163,449890,5200 Enrique M Barrera Pkwy,San Antonio,78227.0,Texas,TX,29.4027,-98.6433
Feeding San Diego,68,3496774,0.118,412510,"9477 Waples Street, Suite 100",San Diego,92121.0,California,CA,32.8919,-117.2035
SF-Marin Food Bank,69,1134904,0.12,135700,900 Pennsylvania Avenue,San Francisco,94107.0,California,CA,37.7621,-122.3971
Second Harvest of Silicon Valley,70,2694893,0.09,241940,750 Curtner Avenue,San Jose,95125.0,California,CA,37.296,-121.8939
"America's Second Harvest of Coastal Georgia, Inc.",71,902494,0.149,134220,2501 East President Street,Savannah,31404.0,Georgia,GA,32.0543,-81.0492
Food Lifeline,72,5317142,0.112,594150,815 South 96th Street,Seattle,98108.0,Washington,WA,47.5413,-122.3129
Second Harvest Inland Northwest,74,1848238,0.132,243200,1234 E. Front Avenue,Spokane,99202.0,Washington,WA,47.6547,-117.381
