Food Bank,,Total Population,Revised Projections March 2021 Food Insecurity%,Revised Projections March 2021 Food Insecurity#,address_1,postal code,state_y,statecode,latitude,longitude
"Food Bank of Alaska, Inc.",,737068,0.129,95420,2192 Viking Drive,99501,Alaska,AK,61.2116,-149.8761
Community Food Bank of Central Alabama,,1458585,0.157,229190,107 Walter Davis Drive,35209,Alabama,AL,33.4653,-86.8082
Food Bank of North Alabama,,1089725,0.157,171440,2000 B. Vernon Ave.|P.O. Box 18607,35805,Alabama,AL,34.7059,-86.6165
Feeding the Gulf Coast,,2292020,0.164,376740,5248 Mobile South Street,36582,Alabama,AL,30.5444,-88.1807
"Montgomery Area Food Bank, Inc.",,1481529,0.172,254180,521 Trade Center Street,36108,Alabama,AL,32.3417,-86.3529
Food Bank of Northeast Arkansas,,500090,0.193,96350,3414 One Place|P.O. Box 2097,72402,Arkansas,AR,35.8088,-90.6529
"Harvest Regional Food Bank, Inc.",,251209,0.183,46080,3120 East 19th Street|P.O. Box 707,71854,Arkansas,AR,33.431,-93.8765
Arkansas Foodbank,,1442506,0.177,254610,4301 W 65th St,72209,Arkansas,AR,34.6725,-92.3529
River Valley Regional Food Bank,,308042,0.193,59470,1617 South Zero Street|PO Box 180070,72918,Arkansas,AR,35.3859,-94.3985
Northwest Arkansas Food Bank,,542224,0.145,78800,1378 June Self Drive,72764,Arkansas,AR,36.1716,-94.0428
St. Mary's Food Bank,,5519420,0.146,804030,2831 N. 31st Avenue,85009,Arizona,AZ,33.4564,-112.1284
United Food Bank,,4995930,0.143,715480,245 South Nina Drive,85210,Arizona,AZ,33.3887,-111.8428
Community Food Bank of Southern Arizona,,1247072,0.155,193290,3003 South Country Club Road,85713,Arizona,AZ,32.1941,-110.9739
Yuma Community Food Bank,,230261,0.178,41040,2404 E 24th St. Ste. A,85365,Arizona,AZ,32.7093,-114.4905
Alameda County Community Food Bank,,1656754,0.109,180930,7900 Edgewater Drive|P.O. Box 2599,94621,California,CA,37.7589,-122.1853
Food Bank of Contra Costa and Solano,,4274041,0.124,531740,4010 Nelson Ave,94520,California,CA,37.9823,-122.0362
Central California Food Bank,,2640184,0.154,407630,4010 E. Amendola Ave.,93725,California,CA,36.6207,-119.7308
Los Angeles Regional Food Bank,,10081570,0.144,1453170,1734 E. 41st Street,90058,California,CA,33.9994,-118.2133
Food Bank for Monterey County,,433410,0.113,49070,"815 W. Market Street, Suite 5",93901,California,CA,36.6677,-121.6596
Second Harvest Food Bank of Orange County,,3168044,0.107,338120,8014 Marine Way,92618,California,CA,33.7074,-117.7054
Placer Food Bank,,673319,0.103,69160,8284 Industrial Ave,95678,California,CA,38.7609,-121.2867
FIND Food Bank,,4560470,0.117,534440,83-775 Citrus Ave|P.O. Box 10080,92202,California,CA,33.7529,-116.0556
Feeding America Riverside San Bernardino Counties,,4560470,0.117,534440,2950 - A Jefferson Street,92504,California,CA,33.9315,-117.4119
Feeding San Diego,,3496774,0.118,412510,"9477 Waples Street, Suite 100",92121,California,CA,32.8919,-117.2035
SF-Marin Food Bank,,1134904,0.12,135700,900 Pennsylvania Avenue,94107,California,CA,37.7621,-122.3971
Foodbank of Santa Barbara County,,726994,0.108,78800,4554 Hollister Avenue,93110,California,CA,34.4418,-119.7647
Second Harvest of Silicon Valley,,2694893,0.09,241940,750 Curtner Avenue,95125,California,CA,37.296,-121.8939
Second Harvest Food Bank Santa Cruz County,,334338,0.111,37100,800 Ohlone Parkway,95076,California,CA,36.9102,-121.7569
Redwood Empire Food Bank,,814626,0.129,104720,3990 Brickway Blvd,95403,California,CA,38.4822,-122.7473
Food Share of Ventura County,,847263,0.096,81530,4156 Southbank Road,93036,California,CA,34.2351,-119.182
Community Food Share,,390396,0.109,42380,650 S. Taylor Ave.,80027,Colorado,CO,39.9789,-105.1456
Food Bank of the Rockies,,3945294,0.116,457580,10700 E. 45th Ave,80239,Colorado,CO,39.7878,-104.8288
Care and Share Food Bank,,1211137,0.134,162630,2605 Preamble Point,80915,Colorado,CO,38.8558,-104.7134
Food Bank for Larimer County,,344786,0.117,40320,5706 Wright Drive,80538,Colorado,CO,40.4262,-105.09
Weld Food Bank,,305345,0.108,33010,1108 H Street,80631,Colorado,CO,40.385,-104.6806
Foodshare,,1044624,0.136,141980,450 Woodland Avenue,6002,Connecticut,CT,41.8316,-72.7249
Connecticut Food Bank,,2530450,0.134,339410,2 Research Parkway,6492,Connecticut,CT,41.46,-72.8222
Capital Area Food Bank,,4739064,0.095,448500,4900 Puerto Rico Ave NE,20017,District of Columbia,DC,38.9367,-76.994
Food Bank of Delaware,,957248,0.119,114300,222 Lake Drive,19702,Delaware,DE,39.6349,-75.6993
Feeding South Florida,,6166458,0.129,795410,2501 SW 32 Terrace,33023,Florida,FL,25.9894,-80.2153
Feeding Northeast Florida,,1713944,0.135,231800,"1116 Edgewood Avenue North, Units D and E",32254,Florida,FL,30.3415,-81.7358
Feeding Tampa Bay,,4569071,0.141,645870,"4702 Transport Dr., Bldg. 6",33605,Florida,FL,27.9671,-82.4334
Harry Chapin Food Bank of Southwest Florida,,1344236,0.13,175280,3760 Fowler St.,33901,Florida,FL,26.6204,-81.8725
"Second Harvest of the Big Bend, Inc.",,520566,0.15,77960,4446 Entrepot Blvd,32310,Florida,FL,30.3991,-84.3298
Second Harvest Food Bank of Central Florida,,4477158,0.142,635280,411 Mercy Drive,32805,Florida,FL,28.5302,-81.4045
